zero-distance pair-entries: 179
seed 18760600 t1684 co-l+co-c @(5349,15872): orders right-wing-ridges / right-wing-ridges | pathEnds - / (4628,16572) | sameEnd=no | nearest-landmark calhoun-hill@0m
seed 18760645 t1684 co-l+co-c @(5349,15872): orders right-wing-ridges / right-wing-ridges | pathEnds - / (4628,16572) | sameEnd=no | nearest-landmark calhoun-hill@0m
seed 18760645 t1684 co-l+co-i @(5349,15872): orders right-wing-ridges / right-wing-ridges | pathEnds - / (4628,16572) | sameEnd=no | nearest-landmark calhoun-hill@0m
seed 18760645 t1720 co-i+co-e @(4628,16572): orders right-wing-ridges / wing-consolidate | pathEnds - / (7162,12515) | sameEnd=no | nearest-landmark last-stand-hill@0m
seed 18760645 t1720 co-i+co-f @(4628,16572): orders right-wing-ridges / wing-consolidate | pathEnds - / (7162,12515) | sameEnd=no | nearest-landmark last-stand-hill@0m
seed 18760646 t1684 co-l+co-c @(5349,15872): orders right-wing-ridges / right-wing-ridges | pathEnds - / (4628,16572) | sameEnd=no | nearest-landmark calhoun-hill@0m
seed 18760646 t1684 co-l+co-i @(5349,15872): orders right-wing-ridges / right-wing-ridges | pathEnds - / (4628,16572) | sameEnd=no | nearest-landmark calhoun-hill@0m
seed 18760647 t1684 co-l+co-c @(5349,15872): orders right-wing-ridges / right-wing-ridges | pathEnds - / (4628,16572) | sameEnd=no | nearest-landmark calhoun-hill@0m
seed 18760647 t1684 co-l+co-i @(5349,15872): orders right-wing-ridges / right-wing-ridges | pathEnds - / (4628,16572) | sameEnd=no | nearest-landmark calhoun-hill@0m
seed 18760647 t1715 co-i+co-e @(4628,16572): orders right-wing-ridges / wing-consolidate | pathEnds - / (4628,16572) | sameEnd=no | nearest-landmark last-stand-hill@0m
seed 18760647 t1715 co-i+co-f @(4628,16572): orders right-wing-ridges / wing-consolidate | pathEnds - / (4628,16572) | sameEnd=no | nearest-landmark last-stand-hill@0m
seed 18760648 t1684 co-l+co-c @(5349,15872): orders right-wing-ridges / right-wing-ridges | pathEnds - / (4628,16572) | sameEnd=no | nearest-landmark calhoun-hill@0m
seed 18760648 t1684 co-l+co-i @(5349,15872): orders right-wing-ridges / right-wing-ridges | pathEnds - / (4628,16572) | sameEnd=no | nearest-landmark calhoun-hill@0m
seed 18760648 t1717 co-i+co-e @(4628,16572): orders right-wing-ridges / wing-consolidate | pathEnds - / (4628,16572) | sameEnd=no | nearest-landmark last-stand-hill@0m
seed 18760648 t1717 co-i+co-f @(4628,16572): orders right-wing-ridges / wing-consolidate | pathEnds - / (6624,20006) | sameEnd=no | nearest-landmark last-stand-hill@0m
seed 18760648 t1765 co-c+co-f @(6624,20006): orders right-wing-ridges / wing-consolidate | pathEnds - / (6624,20006) | sameEnd=no | nearest-landmark last-stand-hill@3972m
seed 18760649 t1684 co-l+co-c @(5349,15872): orders right-wing-ridges / right-wing-ridges | pathEnds - / (4628,16572) | sameEnd=no | nearest-landmark calhoun-hill@0m
seed 18760649 t1684 co-l+co-i @(5349,15872): orders right-wing-ridges / right-wing-ridges | pathEnds - / (4628,16572) | sameEnd=no | nearest-landmark calhoun-hill@0m
seed 18760649 t1717 co-i+co-e @(4628,16572): orders right-wing-ridges / wing-consolidate | pathEnds - / (6624,20006) | sameEnd=no | nearest-landmark last-stand-hill@0m
seed 18760649 t1717 co-i+co-f @(4628,16572): orders right-wing-ridges / wing-consolidate | pathEnds - / (6624,20006) | sameEnd=no | nearest-landmark last-stand-hill@0m

SHARED endpoint pairs: 0 | independent/none: 179
